userId,movieId,rating,timestamp
39,22,0.5,1025291709
15,7,2.5,1478692312
43,29,3.0,1025836512
8,10,3.0,1077782638
21,23,1.5,1524518203
19,3,4.5,1439000043
23,18,5.0,1279744867
11,25,4.0,1172162180
11,24,3.0,1098881316
24,13,4.0,1091253744
36,28,2.5,1327656027
40,26,4.0,1534445854
3,25,2.0,1296015752
22,4,5.0,1332091442
2,13,4.0,1447737293
24,20,5.0,1388435240
44,1,1.0,1527468288
30,8,2.5,1486353709
38,14,4.5,1381814381
2,16,2.0,1535422133
21,14,3.0,1375770070
33,12,0.5,1352816128
22,23,0.5,1263901109
44,15,2.5,1080908854
25,28,2.0,1392024999
27,2,3.0,1555363758
28,22,1.5,1365919368
16,19,2.5,1227003827
15,25,4.5,1162306360
47,26,1.0,1019894388
3,29,4.0,1358626216
37,22,1.0,1490774306
7,26,2.5,1160612888
39,17,0.5,1416410833
18,20,3.0,1373955199
4,10,0.5,1141075386
14,15,0.5,1145509876
50,22,2.5,1264025248
9,11,5.0,1482728112
26,28,4.5,1130978076
20,1,0.5,1118485994
28,8,0.5,1568070805
7,28,4.5,1065170480
44,12,1.5,1246124691
8,12,0.5,1475160917
47,5,2.5,1366574043
14,4,3.0,1009427504
17,6,0.5,1213012806
36,13,2.5,1409675520
50,20,2.5,1257427167
40,30,3.0,1288091276
4,15,1.5,1213812151
6,23,3.5,1536767792
42,8,2.5,1156979628
4,20,2.5,1548578780
29,16,2.5,1371793039
18,13,5.0,1278490535
26,18,5.0,1375610386
34,10,0.5,1189170432
10,30,2.5,1109640269
36,19,4.5,1118746097
14,17,0.5,1104755393
31,24,1.5,1147986933
48,19,2.0,1256153253
15,28,0.5,1065954738
8,26,0.5,1442302083
14,23,4.0,1362335495
23,26,1.0,1480115612
40,5,4.0,1324284470
21,26,3.5,1013942402
45,30,5.0,1095785737
18,23,1.0,1089097673
47,9,3.0,1114153633
24,12,3.0,1217968608
26,21,1.5,1109033558
45,26,0.5,1502484358
29,1,2.5,1222146872
15,15,4.5,1016701250
45,2,0.5,1023656190
1,30,3.5,1084656124
25,22,2.5,1408232263
9,25,1.0,1383417080
24,8,1.5,1214387950
1,13,3.5,1298257636
44,21,3.0,1590388274
8,1,1.0,1243617371
24,16,3.0,1427097505
11,29,1.0,1237575970
17,7,1.0,1443229471
8,5,1.0,1453962871
35,22,1.5,1244169517
33,23,2.0,1185318110
5,3,4.5,1317784886
42,12,3.0,1373340113
41,16,4.0,1572264777
28,19,3.5,1367256326
7,5,5.0,1421456980
9,22,1.5,1113954962
8,25,0.5,1527322735
12,29,2.5,1543073170
34,14,2.0,1356660771
48,5,4.0,1535845572
23,15,0.5,1394352531
24,17,5.0,1368791050
37,30,0.5,1040473321
35,14,2.0,1322583550
44,30,4.0,1557024641
40,20,2.5,1485585602
27,12,3.0,1147008630
35,16,2.5,1077582731
1,26,1.0,1346408467
37,16,4.5,1408847140
47,21,3.5,1102368511
14,7,3.5,1223540957
1,1,4.0,1477033524
5,30,2.0,1190978987
26,30,4.0,1058436437
14,5,2.0,1127812971
39,23,4.0,1490648144
27,26,4.5,1508816073
9,10,1.5,1282508445
15,22,1.5,1214126719
15,5,1.0,1096504946
26,4,5.0,1053505232
42,2,1.5,1080218637
13,20,1.5,1178817575
32,10,2.5,1573284588
39,26,2.5,1033877350
49,19,1.0,1598529781
4,1,3.0,1568122009
30,24,2.5,1110338489
37,5,3.0,1095809238
23,13,0.5,1078987338
39,4,2.5,1311745349
